test_set,blur_size,noise_level,accuracy,f1,precision_immune,precision_other,precision_stromal,precision_tumour,recall_immune,recall_other,recall_stromal,recall_tumour,f1_immune,f1_other,f1_stromal,f1_tumour,confusion_matrix,confidence_overall,confidence_immune_avg,confidence_other_avg,confidence_stromal_avg,confidence_tumour_avg,confidence_immune_std,confidence_other_std,confidence_stromal_std,confidence_tumour_std,count_pred_immune,count_pred_other,count_pred_stromal,count_pred_tumour
1,0,0,0.59425,0.5379009930992785,0.6077998528329654,0.33170731707317075,0.5134037367993501,0.7062240663900415,0.826,0.068,0.632,0.851,0.7002967359050445,0.11286307053941909,0.5665620797848498,0.7718820861678004,"[[826, 13, 117, 44], [272, 68, 443, 217], [219, 56, 632, 93], [42, 68, 39, 851]]",0.63603115,0.66489416,0.49952447,0.621485,0.6415625,0.18673544,0.15130872,0.1445648,0.16271089,1359,205,1231,1205
1,1,0,0.56775,0.4972818266920356,0.5113043478260869,0.32786885245901637,0.5655836341756919,0.6649016641452344,0.882,0.04,0.47,0.879,0.6473394495412844,0.07130124777183601,0.513380666302567,0.7571059431524548,"[[882, 9, 58, 51], [409, 40, 290, 261], [372, 27, 470, 131], [62, 46, 13, 879]]",0.66133666,0.6929528,0.5255951,0.61658096,0.6607426,0.1911414,0.17010976,0.12707932,0.15265425,1725,122,831,1322
1,3,0,0.5115,0.455574046715446,0.5482815057283142,0.2606837606837607,0.5720164609053497,0.49476584022038567,0.67,0.061,0.417,0.898,0.603060306030603,0.09886547811993517,0.48235974551764027,0.6380106571936057,"[[670, 60, 45, 225], [260, 61, 260, 419], [275, 35, 417, 273], [17, 78, 7, 898]]",0.62796867,0.6451225,0.5724777,0.5748435,0.6449115,0.18914375,0.15256718,0.119168535,0.1418333,1222,234,729,1815
1,5,0,0.41625,0.4016532714741617,0.6224066390041494,0.2148962148962149,0.5652173913043478,0.38967136150234744,0.3,0.176,0.442,0.747,0.4048582995951417,0.19351291918636612,0.49607182940516276,0.512170037709976,"[[300, 301, 59, 340], [81, 176, 270, 473], [100, 101, 442, 357], [1, 241, 11, 747]]",0.60772926,0.5390469,0.663768,0.5746966,0.61453193,0.14254147,0.16444714,0.12583314,0.12768227,482,819,782,1917
1,7,0,0.36275,0.36017318663317893,0.615916955017301,0.1997126436781609,0.5485781990521327,0.3606779661016949,0.178,0.278,0.463,0.532,0.2761830876648565,0.23244147157190637,0.5021691973969631,0.4298989898989899,"[[178, 486, 72, 264], [46, 278, 296, 380], [64, 174, 463, 299], [1, 454, 13, 532]]",0.61773944,0.507047,0.70107293,0.5883706,0.5775883,0.13476188,0.17350896,0.12770836,0.11876307,289,1392,844,1475
1,9,0,0.3425,0.3424578447417064,0.6166666666666667,0.19943502824858758,0.5303030303030303,0.35553470919324576,0.148,0.353,0.49,0.379,0.23870967741935484,0.2548736462093863,0.5093555093555093,0.36689254598257504,"[[148, 577, 96, 179], [38, 353, 321, 288], [53, 237, 490, 220], [1, 603, 17, 379]]",0.6297938,0.5155617,0.7150581,0.5965679,0.5427384,0.13485269,0.18194073,0.13100608,0.1096137,240,1770,924,1066
1,19,0,0.33275,0.3181371790419093,0.6408163265306123,0.21190261496844004,0.4947275922671353,0.3533834586466165,0.157,0.47,0.563,0.141,0.25220883534136546,0.2921068986948415,0.5266604303086997,0.2015725518227305,"[[157, 626, 148, 69], [37, 470, 386, 107], [49, 306, 563, 82], [2, 816, 41, 141]]",0.66445786,0.5273515,0.74555457,0.6094559,0.4547105,0.14067821,0.1940239,0.14483269,0.08441129,245,2218,1138,399
1,0,1,0.59575,0.5411132012677565,0.6241352805534205,0.3302752293577982,0.510655090765588,0.7018121911037891,0.812,0.072,0.647,0.852,0.7057800956106041,0.11822660098522167,0.5707984119982356,0.7696476964769647,"[[812, 14, 125, 49], [249, 72, 456, 223], [204, 59, 647, 90], [36, 73, 39, 852]]",0.6368487,0.66485673,0.4987725,0.62625396,0.6426854,0.18543714,0.15158093,0.14729905,0.16411114,1301,218,1267,1214
1,1,1,0.5745,0.5057550848131829,0.5303766707168894,0.3458646616541353,0.5649202733485194,0.6574832464631423,0.873,0.046,0.496,0.883,0.6598639455782312,0.08120035304501325,0.5282215122470714,0.7537345283824157,"[[873, 10, 61, 56], [379, 46, 308, 267], [338, 29, 496, 137], [56, 48, 13, 883]]",0.66090405,0.68944424,0.52375007,0.6237976,0.6637659,0.19198062,0.17056218,0.13201274,0.15489736,1646,133,878,1343
1,3,1,0.509,0.45882884377892164,0.5873465533522191,0.26515151515151514,0.5676020408163265,0.4749075541468568,0.622,0.07,0.445,0.899,0.6041767848470131,0.11075949367088607,0.49887892376681614,0.6215001728309714,"[[622, 70, 59, 249], [209, 70, 271, 450], [217, 43, 445, 295], [11, 81, 9, 899]]",0.6337894,0.64408433,0.5755389,0.5924472,0.6532761,0.18627271,0.15722698,0.12737589,0.14692655,1059,264,784,1893
1,5,1,0.401,0.382297716439988,0.6802507836990596,0.20469798657718122,0.5618115055079559,0.37817258883248733,0.217,0.183,0.459,0.745,0.3290371493555724,0.1932418162618796,0.5052283984589984,0.5016835016835017,"[[217, 349, 63, 371], [42, 183, 286, 489], [59, 117, 459, 365], [1, 245, 9, 745]]",0.62387794,0.52894455,0.6690503,0.5973856,0.62973785,0.1397856,0.1702933,0.13518153,0.1331986,319,894,817,1970
1,7,1,0.349,0.3334143742265286,0.6482758620689655,0.19659863945578232,0.5419501133786848,0.35595475715236197,0.094,0.289,0.478,0.535,0.16419213973799127,0.2340080971659919,0.5079702444208289,0.4274870155813024,"[[94, 537, 85, 284], [23, 289, 306, 382], [28, 192, 478, 302], [0, 452, 13, 535]]",0.6377511,0.5069451,0.7057031,0.61258507,0.59867835,0.13355505,0.17677002,0.13838801,0.12298608,145,1470,882,1503
1,9,1,0.33625,0.3253802567573399,0.6567164179104478,0.19945205479452055,0.5333333333333333,0.3524514338575393,0.088,0.364,0.512,0.381,0.15520282186948853,0.2576991150442478,0.5224489795918368,0.3661701105237866,"[[88, 605, 106, 201], [22, 364, 325, 289], [24, 254, 512, 210], [0, 602, 17, 381]]",0.6504796,0.4969201,0.724436,0.62595916,0.56643355,0.12967147,0.1804001,0.139528,0.11376521,134,1825,960,1081
1,19,1,0.326,0.302733953385493,0.7088607594936709,0.20980565371024734,0.49072512647554806,0.34438775510204084,0.112,0.475,0.582,0.135,0.19343696027633853,0.29105392156862747,0.5324794144556267,0.1939655172413793,"[[112, 652, 157, 79], [24, 475, 401, 100], [21, 319, 582, 78], [1, 818, 46, 135]]",0.68858486,0.5085762,0.75827146,0.65008163,0.4751554,0.13364959,0.18997818,0.14936495,0.09258115,158,2264,1186,392
1,0,3,0.57425,0.5422544337459859,0.7197125256673511,0.2991913746630728,0.45701917130488556,0.7186897880539499,0.701,0.111,0.739,0.746,0.7102330293819655,0.16192560175054704,0.5647688192586932,0.732090284592738,"[[701, 22, 228, 49], [148, 111, 565, 176], [110, 84, 739, 67], [15, 154, 85, 746]]",0.6292581,0.6572203,0.5147561,0.64529735,0.6189593,0.16968144,0.14409289,0.15778981,0.16492067,974,371,1617,1038
1,1,3,0.58625,0.5354531960971594,0.648854961832061,0.308300395256917,0.5019485580670304,0.667704280155642,0.765,0.078,0.644,0.858,0.7021569527306104,0.12450119712689545,0.5641699518177836,0.750984682713348,"[[765, 23, 140, 72], [214, 78, 463, 245], [180, 66, 644, 110], [20, 86, 36, 858]]",0.644981,0.6766533,0.52933884,0.6388214,0.64483994,0.18487933,0.15477458,0.1560361,0.1605578,1179,253,1283,1285
1,3,3,0.48625,0.45687121009660053,0.7006472491909385,0.2385496183206107,0.5310274669379451,0.4613333333333333,0.433,0.125,0.522,0.865,0.5352286773794809,0.16404199475065617,0.5264750378214826,0.6017391304347826,"[[433, 152, 110, 305], [90, 125, 339, 446], [92, 127, 522, 259], [3, 120, 12, 865]]",0.639789,0.6057112,0.5842113,0.6455817,0.6635162,0.18031155,0.1639475,0.14955138,0.150621,618,524,983,1875
1,5,3,0.37125,0.3266232312968129,0.8780487804878049,0.19384359400998336,0.5473568281938326,0.38885884261763115,0.036,0.233,0.497,0.719,0.069164265129683,0.21162579473206175,0.5209643605870021,0.5047385047385048,"[[36, 495, 97, 372], [2, 233, 304, 461], [3, 203, 497, 297], [0, 271, 10, 719]]",0.6693378,0.5234805,0.69201815,0.6674659,0.6587473,0.12779067,0.17736694,0.14670381,0.13232276,41,1202,908,1849
1,7,3,0.3375,0.3021217574037139,1.0,0.19728292971057296,0.53717277486911,0.36924219910846956,0.006,0.334,0.513,0.497,0.011928429423459244,0.2480505012996658,0.5248081841432225,0.4236999147485081,"[[6, 614, 109, 271], [0, 334, 319, 347], [0, 256, 513, 231], [0, 489, 14, 497]]",0.68751,0.4195932,0.72769815,0.6874167,0.63822186,0.076574214,0.1719,0.1478143,0.12234777,6,1693,955,1346
