test_set,blur_size,noise_level,accuracy,f1,confidence_overall,precision_immune,precision_other,precision_stromal,precision_tumour,recall_immune,recall_other,recall_stromal,recall_tumour,confidence_immune,confidence_other,confidence_stromal,confidence_tumour
test_set_1,0,0,0.607,0.5685150911771045,0.7345369,0.6368542791056284,0.4175824175824176,0.5146406388642414,0.7178217821782178,0.826,0.152,0.58,0.87,0.799267,0.62753516,0.7730441,0.798554
test_set_1,1,0,0.607,0.5685150911771045,0.7345369,0.6368542791056284,0.4175824175824176,0.5146406388642414,0.7178217821782178,0.826,0.152,0.58,0.87,0.799267,0.62753516,0.7730441,0.798554
test_set_1,3,0,0.4975,0.43193045504945204,0.72505903,0.38324772817068353,0.36231884057971014,0.7020648967551623,0.7379032258064516,0.97,0.05,0.238,0.732,0.8760661,0.56433547,0.59381914,0.7277468
test_set_1,5,0,0.3825,0.29535007760713505,0.7718512,0.3027803238619004,0.35555555555555557,0.6626506024096386,0.7813021702838063,0.991,0.016,0.055,0.468,0.9135466,0.56645846,0.5572854,0.6807106
test_set_1,7,0,0.3055,0.19679474180027368,0.8211265,0.2717361678931589,0.2727272727272727,0.6571428571428571,0.6982456140350877,0.997,0.003,0.023,0.199,0.92895365,0.58539075,0.5644324,0.6483551
test_set_1,9,0,0.286,0.16718458182245882,0.83728737,0.26465128613099975,0.42857142857142855,0.5666666666666667,0.65625,0.998,0.003,0.017,0.126,0.9308031,0.57162386,0.53650445,0.65462726
test_set_1,19,0,0.2585,0.11956487283492928,0.83088964,0.25486680327868855,0.0,0.5555555555555556,0.39080459770114945,0.995,0.0,0.005,0.034,0.88992745,nan,0.4949243,0.5813266
test_set_1,0,1,0.3135,0.2020588185746414,0.64976156,0.4105392156862745,0.0,0.28863065326633164,0.0,0.335,0.0,0.919,0.0,0.56740093,nan,0.7024926,nan
test_set_1,1,1,0.3085,0.19838704712654293,0.6501276,0.3949579831932773,0.0,0.2859399684044234,0.0,0.329,0.0,0.905,0.0,0.5689704,nan,0.70501655,nan
test_set_1,3,1,0.3195,0.20764740686621178,0.64816225,0.4203747072599532,0.0,0.29211697393515573,0.0,0.359,0.0,0.919,0.0,0.5675807,nan,0.6999245,nan
test_set_1,5,1,0.31625,0.2053843117815763,0.6484347,0.4154929577464789,0.0,0.2893900889453621,0.0,0.354,0.0,0.911,0.0,0.57464635,nan,0.6967958,nan
test_set_1,7,1,0.32,0.2086767495806095,0.64738274,0.4260355029585799,1.0,0.2913760304375396,0.0,0.36,0.001,0.919,0.0,0.5785424,0.37488663,0.69454104,nan
test_set_1,9,1,0.3225,0.21112452436471643,0.6472616,0.4433734939759036,0.0,0.29094351530451246,0.0,0.368,0.0,0.922,0.0,0.5809316,nan,0.6908567,nan
test_set_1,19,1,0.3015,0.1894130776442357,0.64574236,0.44256756756756754,0.0,0.27715795654726955,0.0,0.262,0.0,0.944,0.0,0.57760906,nan,0.6808969,nan
test_set_1,0,3,0.2515,0.10315356541675907,0.7874868,0.6666666666666666,0.0,0.2505637684790779,0.0,0.006,0.0,1.0,0.0,0.5257492,nan,0.80992305,nan
test_set_1,1,3,0.251,0.1025402548840049,0.7866692,0.625,0.0,0.250250501002004,0.0,0.005,0.0,0.999,0.0,0.5471331,nan,0.8094466,nan
test_set_1,3,3,0.25125,0.10349859425466972,0.7879073,0.5833333333333334,0.0,0.2502507522567703,0.0,0.007,0.0,0.998,0.0,0.5338182,nan,0.8109973,nan
test_set_1,5,3,0.2515,0.10354892523092606,0.7890238,0.7777777777777778,0.0,0.25031320471059887,0.0,0.007,0.0,0.999,0.0,0.5273701,nan,0.81161803,nan
test_set_1,7,3,0.2505,0.10105704499469373,0.7882712,0.6666666666666666,0.0,0.2501876407305479,0.0,0.002,0.0,1.0,0.0,0.5070338,nan,0.8098267,nan
test_set_1,9,3,0.25025,0.10095698495867211,0.7891037,0.6666666666666666,0.0,0.24993745308981735,0.0,0.002,0.0,0.999,0.0,0.5588071,nan,0.81016994,nan
test_set_1,19,3,0.2505,0.10103801999841852,0.80130035,1.0,0.0,0.25012506253126565,0.0,0.002,0.0,1.0,0.0,0.5031531,nan,0.8200449,nan
